section,claim_text,value,units,source_file,obtained_via,git_commit,notes
R1-structural,GENERator-PROK-1.2B candidate q1,0.846851,dimensionless (0-1),results/experiments/E11/scale_ladder.csv (PART1_STRUCTURAL_MANUSCRIPT_PACKET.md sec.1),STORED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"decoder/genomic, layer/row=4/798, PR_spec=1.3942, |U_k|_F=6.2196, layer-rel Frob=3.2223, detector ratio=239.51, non-embed params=1,145,153,536"
R1-structural,GENERator-PROK-3B candidate q1,0.934974,dimensionless (0-1),results/experiments/E11/scale_ladder.csv (PART1_STRUCTURAL_MANUSCRIPT_PACKET.md sec.1),STORED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"decoder/genomic, layer/row=8/260, PR_spec=1.1439, |U_k|_F=52.1616, layer-rel Frob=7.6566, detector ratio=257.27, non-embed params=2,972,900,352"
R1-structural,EuroBERT-210M candidate q1,0.983849,dimensionless (0-1),results/experiments/E11/scale_ladder.csv (PART1_STRUCTURAL_MANUSCRIPT_PACKET.md sec.1),STORED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"encoder/text, layer/row=3/300, PR_spec=1.0329, |U_k|_F=2.0419, layer-rel Frob=14.9499, detector ratio=101.50, non-embed params=113,265,408"
R1-structural,EuroBERT-610M candidate q1,0.999624,dimensionless (0-1),results/experiments/E11/scale_ladder.csv (PART1_STRUCTURAL_MANUSCRIPT_PACKET.md sec.1),STORED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"encoder/text, layer/row=13/762, PR_spec=1.0008, |U_k|_F=8.1065, layer-rel Frob=57.2173, detector ratio=1580.36, non-embed params=460,123,776"
R1-structural,EuroBERT-2.1B candidate q1,0.997741,dimensionless (0-1),results/experiments/E11/scale_ladder.csv (PART1_STRUCTURAL_MANUSCRIPT_PACKET.md sec.1),STORED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"encoder/text, layer/row=14/2198, PR_spec=1.0045, |U_k|_F=2.7509, layer-rel Frob=20.8937, detector ratio=573.00, non-embed params=1,812,089,088"
R1-structural,ModernBERT-large candidate q1,0.970134,dimensionless (0-1),results/experiments/E11/scale_ladder.csv (PART1_STRUCTURAL_MANUSCRIPT_PACKET.md sec.1),STORED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"encoder/text, layer/row=19/379, PR_spec=1.0621, |U_k|_F=708.1323, layer-rel Frob=26.5760, detector ratio=687.06, non-embed params=344,253,440"
R1-structural,text-decoder detector ratio threshold accept criterion,ratio >= 5.0,dimensionless,paper-salvage/experiments/E11_scale_ladder/run_model.py (RATIO_THRESHOLD),CODE-ONLY,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),
R1-structural,Evo2-7B excluded (detection null),global-max ratio 2.22 < 5.0,dimensionless,results/experiments/E7/e7_phase1_detection_evo2.json (PART1 packet sec.4),STORED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),resolved revision null in artifact
R1-structural,full-22 median random-control q1 gap,0.9347,q1 units,audit/rederivations/fig1c_random_vs_topk_gaps_full22.csv,RECOMPUTED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),candidate_q1 - mean(5 random controls); n=22
R1-structural,full-22 median top-norm-control q1 gap,0.0135,q1 units,audit/rederivations/fig1c_random_vs_topk_gaps_full22.csv,RECOMPUTED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),candidate_q1 - mean(5 top-norm-by-magnitude controls); n=22; 7/22 negative
R1-structural,full-22 random-vs-topK gap collapse factor,69.0x,ratio,audit/rederivations/AUDIT_ROUND2_REPORT.md,STORED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"median random gap / median topK gap, full 22-model cohort (supersedes 12-model 114.8x figure)"
R1-structural,12-model random-vs-topK gap collapse factor (superseded),114.8x,ratio,audit/rederivations/fig1c_random_vs_topk_gaps.csv,STORED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"original 12-model E11 panel only; do not use in v8, kept for audit trail"
R1-structural,negative-topK-gap models (full 22),7/22,models,audit/rederivations/fig1c_random_vs_topk_gaps_full22.csv,RECOMPUTED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"SmolLM2-360M, EuroBERT-210m, EuroBERT-2.1B, ModernBERT-large, DNABERT-2, GENERator-EUK-3B, GenomeOcean-4B"
R2-causal,median candidate causal effect (signed full-ablation R),+0.60%,% relative NLL/loss change,PART2_EVIDENCE_PACKET.md sec.4,STORED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"epsilon=0.5, n=22"
R2-causal,median candidate causal effect (signed full-ablation R),+0.88%,% relative NLL/loss change,PART2_EVIDENCE_PACKET.md sec.4,STORED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"epsilon=1.0, n=22"
R2-causal,median candidate-minus-median-random-control gap (G),+0.60%,percentage points,PART2_EVIDENCE_PACKET.md sec.4,STORED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"epsilon=0.5; 95% bootstrap CI [+0.23%, +3.06%], 5000 draws, seed 47"
R2-causal,median candidate-minus-median-random-control gap (G),+0.88%,percentage points,PART2_EVIDENCE_PACKET.md sec.4,STORED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"epsilon=1.0; 95% bootstrap CI [+0.61%, +111.78%], 5000 draws, seed 52"
R2-causal,text/decoder subgroup median candidate effect,+85.47%,%,PART2_EVIDENCE_PACKET.md sec.7,STORED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"n=10, full-ablation (eps=1.0); descriptive only, confounded by objective/tokenizer"
R2-causal,text/encoder subgroup median candidate effect,+0.65%,%,PART2_EVIDENCE_PACKET.md sec.7,STORED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"n=6, full-ablation (eps=1.0); descriptive only"
R2-causal,genomic/encoder subgroup median candidate effect,+0.02%,%,PART2_EVIDENCE_PACKET.md sec.7,STORED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"n=2, full-ablation (eps=1.0); descriptive only"
R2-causal,genomic/decoder subgroup median candidate effect,+0.68%,%,PART2_EVIDENCE_PACKET.md sec.7,STORED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"n=4, full-ablation (eps=1.0); descriptive only"
R2-causal,strongest candidate effect at eps=0.5,"Mistral-7B, +301.38%",%,PART2_EVIDENCE_PACKET.md sec.4,STORED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),
R2-causal,weakest candidate effect at eps=0.5,"EuroBERT-610m, -0.84%",%,PART2_EVIDENCE_PACKET.md sec.4,STORED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),
R2-causal,strongest candidate effect at eps=1.0,"SmolLM2-1.7B, +698.87%",%,PART2_EVIDENCE_PACKET.md sec.4,STORED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),
R2-causal,weakest candidate effect at eps=1.0,"NTv3, -0.79%",%,PART2_EVIDENCE_PACKET.md sec.4,STORED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),the one model negative at BOTH epsilons and both control types (random + top-norm)
R2-causal,"sign-flip models (candidate below median top-norm control, either epsilon)","MosaicBERT, NTv3, Qwen2.5-0.5B, Qwen2.5-7B",model list,audit/rederivations/structural_vs_causal_gap.csv,RECOMPUTED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),union of negative-causal_topk_gap models across eps=0.5 and eps=1.0; labeled in Fig.2 new panel
R2-causal,nonpositive-gap models vs random control (either epsilon),"NTv3, EuroBERT-2.1B",model list,PART2_EVIDENCE_PACKET.md sec. 'Claims not supported',STORED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),only models with nonpositive full-ablation candidate-minus-control gap
R2-causal,GenomeOcean-4B top-norm-by-q1 rank,5/6 (worst-ranked in 22-model cohort),rank,audit/rederivations/topk_norm_q1_summary.csv (verification_table.csv round2-4 row),RECOMPUTED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),
R2-correlations,"structure-function correlation: q1 vs causal R, eps=0.5, panel=all-22","rho=0.1146, p=0.6115",Spearman rho,audit/rederivations/structure_function_correlations.csv,RECOMPUTED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"n=22, 95% bootstrap CI [-0.4095, 0.6179], seed=43, LOO rho range [0.0091, 0.2818], underpowered(n<8)=False"
R2-correlations,"structure-function correlation: layer_relative_frobenius vs causal R, eps=0.5, panel=all-22","rho=0.3484, p=0.1121",Spearman rho,audit/rederivations/structure_function_correlations.csv,RECOMPUTED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"n=22, 95% bootstrap CI [-0.1388, 0.7406], seed=44, LOO rho range [0.2844, 0.5506], underpowered(n<8)=False"
R2-correlations,"structure-function correlation: q1 vs causal R, eps=1.0, panel=all-22","rho=0.0740, p=0.7436",Spearman rho,audit/rederivations/structure_function_correlations.csv,RECOMPUTED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"n=22, 95% bootstrap CI [-0.3914, 0.5126], seed=43, LOO rho range [-0.0649, 0.1896], underpowered(n<8)=False"
R2-correlations,"structure-function correlation: layer_relative_frobenius vs causal R, eps=1.0, panel=all-22","rho=0.4410, p=0.0399",Spearman rho,audit/rederivations/structure_function_correlations.csv,RECOMPUTED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"n=22, 95% bootstrap CI [0.0622, 0.7174], seed=44, LOO rho range [0.3649, 0.5377], underpowered(n<8)=False"
R2-correlations,"structure-function correlation: q1 vs causal R, eps=0.5, panel=text-decoders-only","rho=-0.1636, p=0.6515",Spearman rho,audit/rederivations/structure_function_correlations.csv,RECOMPUTED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"n=10, 95% bootstrap CI [-0.8077, 0.7750], seed=43, LOO rho range [-0.3167, 0.1500], underpowered(n<8)=False"
R2-correlations,"structure-function correlation: layer_relative_frobenius vs causal R, eps=0.5, panel=text-decoders-only","rho=-0.0667, p=0.8548",Spearman rho,audit/rederivations/structure_function_correlations.csv,RECOMPUTED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"n=10, 95% bootstrap CI [-0.6400, 0.6981], seed=44, LOO rho range [-0.2333, 0.2333], underpowered(n<8)=False"
R2-correlations,"structure-function correlation: q1 vs causal R, eps=1.0, panel=text-decoders-only","rho=-0.3333, p=0.3466",Spearman rho,audit/rederivations/structure_function_correlations.csv,RECOMPUTED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"n=10, 95% bootstrap CI [-0.8875, 0.5347], seed=43, LOO rho range [-0.5167, -0.0833], underpowered(n<8)=False"
R2-correlations,"structure-function correlation: layer_relative_frobenius vs causal R, eps=1.0, panel=text-decoders-only","rho=-0.0424, p=0.9074",Spearman rho,audit/rederivations/structure_function_correlations.csv,RECOMPUTED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"n=10, 95% bootstrap CI [-0.6994, 0.6842], seed=44, LOO rho range [-0.2167, 0.2333], underpowered(n<8)=False"
R2-correlations,"structure-function correlation: q1 vs causal R, eps=0.5, panel=text-encoders-only","rho=-0.4286, p=0.3965",Spearman rho,audit/rederivations/structure_function_correlations.csv,RECOMPUTED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"n=6, 95% bootstrap CI [-1.0000, 0.7419], seed=43, LOO rho range [-1.0000, 0.0000], underpowered(n<8)=True"
R2-correlations,"structure-function correlation: layer_relative_frobenius vs causal R, eps=0.5, panel=text-encoders-only","rho=0.0286, p=0.9572",Spearman rho,audit/rederivations/structure_function_correlations.csv,RECOMPUTED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"n=6, 95% bootstrap CI [-1.0000, 1.0000], seed=44, LOO rho range [-0.2000, 0.8000], underpowered(n<8)=True"
R2-correlations,"structure-function correlation: q1 vs causal R, eps=1.0, panel=text-encoders-only","rho=-0.3714, p=0.4685",Spearman rho,audit/rederivations/structure_function_correlations.csv,RECOMPUTED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"n=6, 95% bootstrap CI [-1.0000, 0.8000], seed=43, LOO rho range [-0.7000, -0.2000], underpowered(n<8)=True"
R2-correlations,"structure-function correlation: layer_relative_frobenius vs causal R, eps=1.0, panel=text-encoders-only","rho=0.5429, p=0.2657",Spearman rho,audit/rederivations/structure_function_correlations.csv,RECOMPUTED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"n=6, 95% bootstrap CI [-1.0000, 0.8000], seed=44, LOO rho range [0.5000, 0.5000], underpowered(n<8)=True"
R2-correlations,"structure-function correlation: q1 vs causal R, eps=0.5, panel=genomic-only","rho=0.6000, p=0.2080",Spearman rho,audit/rederivations/structure_function_correlations.csv,RECOMPUTED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"n=6, 95% bootstrap CI [-0.8000, 1.0000], seed=43, LOO rho range [0.3000, 0.9000], underpowered(n<8)=True"
R2-correlations,"structure-function correlation: layer_relative_frobenius vs causal R, eps=0.5, panel=genomic-only","rho=0.6571, p=0.1562",Spearman rho,audit/rederivations/structure_function_correlations.csv,RECOMPUTED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"n=6, 95% bootstrap CI [-0.3333, 1.0000], seed=44, LOO rho range [0.5000, 0.8000], underpowered(n<8)=True"
R2-correlations,"structure-function correlation: q1 vs causal R, eps=1.0, panel=genomic-only","rho=0.4857, p=0.3287",Spearman rho,audit/rederivations/structure_function_correlations.csv,RECOMPUTED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"n=6, 95% bootstrap CI [-1.0000, 1.0000], seed=43, LOO rho range [0.1000, 0.7000], underpowered(n<8)=True"
R2-correlations,"structure-function correlation: layer_relative_frobenius vs causal R, eps=1.0, panel=genomic-only","rho=0.4857, p=0.3287",Spearman rho,audit/rederivations/structure_function_correlations.csv,RECOMPUTED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"n=6, 95% bootstrap CI [-0.6000, 1.0000], seed=44, LOO rho range [0.3000, 0.6000], underpowered(n<8)=True"
R3-tomography,repeated-split resamples,100,count,audit/rederivations/tomography_split_stability.csv,RECOMPUTED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"role-permutation of the 118 already-measured non-singleton mask conditions (78/20/20 fit/cal/held-out); NOT drawn from wider C(10,k) combination space -- pool sizes match measured counts exactly"
R3-tomography,fraction of splits where F3 beats F2 on held-out MAE,100/100 (100%),fraction,audit/rederivations/tomography_split_stability.csv,RECOMPUTED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),epsilon=0.5
R3-tomography,fraction of splits where F3 beats F2 on held-out MAE,100/100 (100%),fraction,audit/rederivations/tomography_split_stability.csv,RECOMPUTED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),epsilon=1.0
R3-tomography,"held-out R2, F0, eps=0.5",median=-0.2141,R^2,audit/rederivations/tomography_split_stability.csv,RECOMPUTED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"95% range across 100 resplits [-0.4500, 0.0571]"
R3-tomography,"held-out R2, F1, eps=0.5",median=0.2996,R^2,audit/rederivations/tomography_split_stability.csv,RECOMPUTED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"95% range across 100 resplits [-0.3459, 0.5669]"
R3-tomography,"held-out R2, F2, eps=0.5",median=0.5498,R^2,audit/rederivations/tomography_split_stability.csv,RECOMPUTED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"95% range across 100 resplits [0.2613, 0.7044]"
R3-tomography,"held-out R2, F3, eps=0.5",median=0.9171,R^2,audit/rederivations/tomography_split_stability.csv,RECOMPUTED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"95% range across 100 resplits [0.7932, 0.9562]"
R3-tomography,"F2->F3 relative held-out MAE improvement, eps=0.5",median=57.5%,%,audit/rederivations/tomography_split_stability.csv,RECOMPUTED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"95% range across 100 resplits [34.7%, 68.2%]"
R3-tomography,"F2_lambda_distribution, eps=0.5","{""0.001"": 34, ""0.1"": 3, ""1.0"": 7, ""3.0"": 16, ""10.0"": 29, ""30.0"": 10, ""100.0"": 1}",counts across 100 splits,audit/rederivations/tomography_split_stability.csv,RECOMPUTED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),ridge lambda selection instability across resplits
R3-tomography,"F3_lambda_distribution, eps=0.5","{""0.001"": 6, ""0.01"": 9, ""0.1"": 24, ""1.0"": 55, ""3.0"": 5, ""10.0"": 1}",counts across 100 splits,audit/rederivations/tomography_split_stability.csv,RECOMPUTED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),ridge lambda selection instability across resplits
R3-tomography,"held-out R2, F0, eps=1.0",median=-0.4537,R^2,audit/rederivations/tomography_split_stability.csv,RECOMPUTED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"95% range across 100 resplits [-1.1394, -0.0534]"
R3-tomography,"held-out R2, F1, eps=1.0",median=0.3065,R^2,audit/rederivations/tomography_split_stability.csv,RECOMPUTED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"95% range across 100 resplits [-0.3279, 0.6904]"
R3-tomography,"held-out R2, F2, eps=1.0",median=0.5596,R^2,audit/rederivations/tomography_split_stability.csv,RECOMPUTED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"95% range across 100 resplits [0.3295, 0.7018]"
R3-tomography,"held-out R2, F3, eps=1.0",median=0.7613,R^2,audit/rederivations/tomography_split_stability.csv,RECOMPUTED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"95% range across 100 resplits [0.4921, 0.8841]"
R3-tomography,"F2->F3 relative held-out MAE improvement, eps=1.0",median=30.6%,%,audit/rederivations/tomography_split_stability.csv,RECOMPUTED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"95% range across 100 resplits [13.8%, 51.9%]"
R3-tomography,"F2_lambda_distribution, eps=1.0","{""0.001"": 18, ""1.0"": 12, ""3.0"": 18, ""10.0"": 35, ""30.0"": 17}",counts across 100 splits,audit/rederivations/tomography_split_stability.csv,RECOMPUTED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),ridge lambda selection instability across resplits
R3-tomography,"F3_lambda_distribution, eps=1.0","{""0.1"": 4, ""1.0"": 45, ""3.0"": 39, ""10.0"": 6, ""30.0"": 2, ""100.0"": 4}",counts across 100 splits,audit/rederivations/tomography_split_stability.csv,RECOMPUTED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),ridge lambda selection instability across resplits
R3-tomography,L9/r264 x L9/r294 epistasis (DNABERT-2),0.0528,epistasis (dLoss units),paper-salvage/experiments/E9_mechanistic_tomography/baseline_regression_results.json,STORED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"epsilon=0.5. NOT among the 78/20/20 tomography mask pools -- from standalone qualitative regression check only. d_A=0.00342, d_B=-0.00100, d_AB=0.05520"
R3-tomography,L9/r264 x L9/r294 epistasis (DNABERT-2),2.0118,epistasis (dLoss units),paper-salvage/experiments/E9_mechanistic_tomography/baseline_regression_results.json,STORED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"epsilon=1.0, superadditive, matches C-036/C-037 qualitative direction. NOT among the 78/20/20 tomography mask pools. d_A=0.02182, d_B=0.00640, d_AB=2.04002"
R4-generator,row 2371 (primary) structural q1,0.9689,dimensionless,results/experiments/E7/e7_legacy_reanalysis.json (fig4_generator.py panel A / PART1 packet cross-ref),STORED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"GENERator-EUK-3B L4/r2371; cross-referenced to Fig.1B, not restated"
R4-generator,GENERator down-projection intermediate size,8448,dimensions,"audit/rederivations/AUDIT_ROUND2_REPORT.md ('down_proj shape = (3072, 8448)')",STORED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),used to derive expected random-direction cosine similarity ~1/sqrt(8448)=0.011
R4-generator,attention mass at position 0 (BOS),37.96%,% of incoming attention,results/mechanism/attention_sink_implicit_bias.json,STORED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),33x uniform expectation; see Section 5 caveat re: file staleness for the removed implicit_bias sub-block
R4-generator,baseline (untouched) NLL,6.38538052380085,NLL,audit/rederivations/scripts/section1_final_plots.py (BASELINE_NLL constant),STORED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),row2371 alpha=1.0
R4-generator,"full-ablation (row2371, alpha=0) NLL",8.754319605827332,NLL,audit/rederivations/scripts/section1_final_plots.py (TARGET_NLL constant),STORED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),"row2371 alpha=0 == random-direction c=0, same zeroed state"
R4-generator,untouched baseline GC fraction,0.4204,GC fraction,audit/rederivations/scripts/section1_final_plots.py,STORED,3f0cdbc3 (working tree; round-2 audit/rederivations/* + PART1/PART2 packets uncommitted -- see Section 5),reference line used in Fig.4C replacement
