perturbation_type	condition_label	condition_class	x_value_type	x_value	nll	gc_fraction	gc_ci_low	gc_ci_high	n_prompts	n_seeds	fraction_of_ablation_damage	source_row_id	source_file
alpha_sweep	control_row_102	inert_control_row	alpha	8.0	6.385612323284149	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	0	0	9.784949096e-05	102	audit/generator_alpha_sweeps.csv
alpha_sweep	control_row_1126	inert_control_row	alpha	0.0	6.385231925845146	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	0	0	-6.272763906e-05	1126	audit/generator_alpha_sweeps.csv
alpha_sweep	control_row_1126	inert_control_row	alpha	0.1	6.385242712497711	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	0	0	-5.817427058e-05	1126	audit/generator_alpha_sweeps.csv
alpha_sweep	control_row_1126	inert_control_row	alpha	0.25	6.385260119438171	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	0	0	-5.082628067e-05	1126	audit/generator_alpha_sweeps.csv
alpha_sweep	control_row_1126	inert_control_row	alpha	0.5	6.385293684005737	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	0	0	-3.665767337e-05	1126	audit/generator_alpha_sweeps.csv
alpha_sweep	control_row_1126	inert_control_row	alpha	0.75	6.385335179567337	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	0	0	-1.914115642e-05	1126	audit/generator_alpha_sweeps.csv
alpha_sweep	control_row_1126	inert_control_row	alpha	1.0	6.38538052380085	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	0	0	0	1126	audit/generator_alpha_sweeps.csv
alpha_sweep	control_row_1126	inert_control_row	alpha	1.5	6.38558848619461	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	0	0	8.778714292e-05	1126	audit/generator_alpha_sweeps.csv
alpha_sweep	control_row_1126	inert_control_row	alpha	2.0	6.385685789585113	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	0	0	0.0001288618127	1126	audit/generator_alpha_sweeps.csv
alpha_sweep	control_row_1126	inert_control_row	alpha	3.0	6.385890263319015	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	0	0	0.000215176288	1126	audit/generator_alpha_sweeps.csv
alpha_sweep	control_row_1126	inert_control_row	alpha	5.0	6.386282303929329	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	0	0	0.0003806683487	1126	audit/generator_alpha_sweeps.csv
alpha_sweep	control_row_1126	inert_control_row	alpha	8.0	6.3868655478954315	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	0	0	0.0006268730614	1126	audit/generator_alpha_sweeps.csv
alpha_sweep	control_row_2621	inert_control_row	alpha	0.0	6.38568005502224	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	0	0	0.0001264410823	2621	audit/generator_alpha_sweeps.csv
alpha_sweep	control_row_2621	inert_control_row	alpha	0.1	6.385635714530945	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	0	0	0.0001077236355	2621	audit/generator_alpha_sweeps.csv
alpha_sweep	control_row_2621	inert_control_row	alpha	0.25	6.385570931434631	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	0	0	8.037675398e-05	2621	audit/generator_alpha_sweeps.csv
alpha_sweep	control_row_2621	inert_control_row	alpha	0.5	6.385486324429512	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	0	0	4.4661608e-05	2621	audit/generator_alpha_sweeps.csv
alpha_sweep	control_row_2621	inert_control_row	alpha	0.75	6.3854297053813935	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	0	0	2.076101531e-05	2621	audit/generator_alpha_sweeps.csv
alpha_sweep	control_row_2621	inert_control_row	alpha	1.0	6.38538052380085	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	0	0	0	2621	audit/generator_alpha_sweeps.csv
alpha_sweep	control_row_2621	inert_control_row	alpha	1.5	6.38527619600296	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	0	0	-4.403988211e-05	2621	audit/generator_alpha_sweeps.csv
alpha_sweep	control_row_2621	inert_control_row	alpha	2.0	6.3851627302169796	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	0	0	-9.193718214e-05	2621	audit/generator_alpha_sweeps.csv
alpha_sweep	control_row_2621	inert_control_row	alpha	3.0	6.38494123339653	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	0	0	-0.0001854376111	2621	audit/generator_alpha_sweeps.csv
alpha_sweep	control_row_2621	inert_control_row	alpha	5.0	6.384613990783691	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	0	0	-0.0003235765001	2621	audit/generator_alpha_sweeps.csv
alpha_sweep	control_row_2621	inert_control_row	alpha	8.0	6.38412490427494	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	0	0	-0.0005300345355	2621	audit/generator_alpha_sweeps.csv
alpha_sweep	control_row_3039	inert_control_row	alpha	0.0	6.385321444272995	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	0	0	-2.493923474e-05	3039	audit/generator_alpha_sweeps.csv
alpha_sweep	control_row_3039	inert_control_row	alpha	0.1	6.385326004624367	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	0	0	-2.301417411e-05	3039	audit/generator_alpha_sweeps.csv
alpha_sweep	control_row_3039	inert_control_row	alpha	0.25	6.385334604978562	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	0	0	-1.938370752e-05	3039	audit/generator_alpha_sweeps.csv
alpha_sweep	control_row_3039	inert_control_row	alpha	0.5	6.38534903883934	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	0	0	-1.329074342e-05	3039	audit/generator_alpha_sweeps.csv
alpha_sweep	control_row_3039	inert_control_row	alpha	0.75	6.38536469399929	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	0	0	-6.682232431e-06	3039	audit/generator_alpha_sweeps.csv
alpha_sweep	control_row_3039	inert_control_row	alpha	1.0	6.38538052380085	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	0	0	0	3039	audit/generator_alpha_sweeps.csv
alpha_sweep	control_row_3039	inert_control_row	alpha	1.5	6.38541467666626	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	0	0	1.44169454e-05	3039	audit/generator_alpha_sweeps.csv
alpha_sweep	control_row_3039	inert_control_row	alpha	2.0	6.385447596907616	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	0	0	2.831356335e-05	3039	audit/generator_alpha_sweeps.csv
alpha_sweep	control_row_3039	inert_control_row	alpha	3.0	6.385575414299965	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	0	0	8.226910544e-05	3039	audit/generator_alpha_sweeps.csv
alpha_sweep	control_row_3039	inert_control_row	alpha	5.0	6.385889770388603	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	0	0	0.0002149682073	3039	audit/generator_alpha_sweeps.csv
alpha_sweep	control_row_3039	inert_control_row	alpha	8.0	6.386403141617775	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	0	0	0.0004316775491	3039	audit/generator_alpha_sweeps.csv
alpha_sweep	control_row_456	inert_control_row	alpha	0.0	6.3853431630134585	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	0	0	-1.577110516e-05	456	audit/generator_alpha_sweeps.csv
alpha_sweep	control_row_456	inert_control_row	alpha	0.1	6.385344288945198	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	0	0	-1.529581572e-05	456	audit/generator_alpha_sweeps.csv
alpha_sweep	control_row_456	inert_control_row	alpha	0.25	6.385348938107491	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	0	0	-1.333326534e-05	456	audit/generator_alpha_sweeps.csv
alpha_sweep	control_row_456	inert_control_row	alpha	0.5	6.385357854366302	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	0	0	-9.569445969e-06	456	audit/generator_alpha_sweeps.csv
alpha_sweep	control_row_456	inert_control_row	alpha	0.75	6.38536933362484	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	0	0	-4.723707796e-06	456	audit/generator_alpha_sweeps.csv
alpha_sweep	control_row_456	inert_control_row	alpha	1.0	6.38538052380085	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	0	0	0	456	audit/generator_alpha_sweeps.csv
alpha_sweep	control_row_456	inert_control_row	alpha	1.5	6.385405426621437	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	0	0	1.051222498e-05	456	audit/generator_alpha_sweeps.csv
alpha_sweep	control_row_456	inert_control_row	alpha	2.0	6.385434423089027	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	0	0	2.275250072e-05	456	audit/generator_alpha_sweeps.csv
alpha_sweep	control_row_456	inert_control_row	alpha	3.0	6.385499461293221	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	0	0	5.020707087e-05	456	audit/generator_alpha_sweeps.csv
alpha_sweep	control_row_456	inert_control_row	alpha	5.0	6.385644810199738	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	0	0	0.0001115631891	456	audit/generator_alpha_sweeps.csv
alpha_sweep	control_row_456	inert_control_row	alpha	8.0	6.385956308841705	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	0	0	0.0002430560774	456	audit/generator_alpha_sweeps.csv
alpha_sweep	random_direction	random_direction_own_alpha_sweep	alpha	0.0	8.754319605827332	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	0	0	1	2371	audit/generator_alpha_sweeps.csv
alpha_sweep	random_direction	random_direction_own_alpha_sweep	alpha	0.0125	8.753588829040527	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	0	0	0.9996915173	2371	audit/generator_alpha_sweeps.csv
alpha_sweep	random_direction	random_direction_own_alpha_sweep	alpha	0.025	8.752900342941285	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	0	0	0.9994008867	2371	audit/generator_alpha_sweeps.csv
alpha_sweep	random_direction	random_direction_own_alpha_sweep	alpha	0.05	8.751532158851624	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	0	0	0.9988233353	2371	audit/generator_alpha_sweeps.csv
alpha_sweep	random_direction	random_direction_own_alpha_sweep	alpha	0.1	8.748447380065919	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	0	0	0.997521158	2371	audit/generator_alpha_sweeps.csv
alpha_sweep	random_direction	random_direction_own_alpha_sweep	alpha	0.25	8.74292501449585	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	0	0	0.9951900024	2371	audit/generator_alpha_sweeps.csv
alpha_sweep	random_direction	random_direction_own_alpha_sweep	alpha	0.5	8.733293561935424	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	0	0	0.9911242784	2371	audit/generator_alpha_sweeps.csv
alpha_sweep	random_direction	random_direction_own_alpha_sweep	alpha	0.75	8.722664160728455	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	0	0	0.9866372904	2371	audit/generator_alpha_sweeps.csv
alpha_sweep	random_direction	random_direction_own_alpha_sweep	alpha	1.0	8.711739401817322	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	0	0	0.9820256231	2371	audit/generator_alpha_sweeps.csv
alpha_sweep	random_direction	random_direction_own_alpha_sweep	alpha	1.5	8.684712767601013	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	0	0	0.9706168729	2371	audit/generator_alpha_sweeps.csv
alpha_sweep	random_direction	random_direction_own_alpha_sweep	alpha	2.0	8.663316617012024	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	0	0	0.9615849181	2371	audit/generator_alpha_sweeps.csv
alpha_sweep	random_direction	random_direction_own_alpha_sweep	alpha	3.0	8.608202695846558	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	0	0	0.9383196845	2371	audit/generator_alpha_sweeps.csv
alpha_sweep	random_direction	random_direction_own_alpha_sweep	alpha	5.0	8.49545283794403	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	0	0	0.8907245991	2371	audit/generator_alpha_sweeps.csv
alpha_sweep	random_direction	random_direction_own_alpha_sweep	alpha	8.0	8.375072193145751	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	0	0	0.8399083305	2371	audit/generator_alpha_sweeps.csv
alpha_sweep	row2371	row2371_own_alpha_sweep	alpha	0.0	8.754319605827332	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	0	0	1	2371	audit/generator_alpha_sweeps.csv
alpha_sweep	row2371	row2371_own_alpha_sweep	alpha	0.25	7.790863447189331	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	0	0	0.5932963553	2371	audit/generator_alpha_sweeps.csv
alpha_sweep	row2371	row2371_own_alpha_sweep	alpha	0.5	6.659344129562378	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	0	0	0.1156482274	2371	audit/generator_alpha_sweeps.csv
alpha_sweep	row2371	row2371_own_alpha_sweep	alpha	0.75	6.4129008495807645	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	0	0	0.01161715216	2371	audit/generator_alpha_sweeps.csv
alpha_sweep	row2371	row2371_own_alpha_sweep	alpha	1.0	6.38538052380085	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	0	0	0	2371	audit/generator_alpha_sweeps.csv
alpha_sweep	row2371	row2371_own_alpha_sweep	alpha	1.5	6.491060765981675	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	0	0	0.04461078927	2371	audit/generator_alpha_sweeps.csv
alpha_sweep	row2371	row2371_own_alpha_sweep	alpha	2.0	6.6376173317432405	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	NOT FOUND (n_prompts=0 in source file -- GC not measured at this alpha grid point)	0	0	0.1064766966	2371	audit/generator_alpha_sweeps.csv
